id_persona,nombre,edad,puntaje_evaluacion
1,Ana Martinez,45,34812
2,Juan Rojas,23,89102
3,Maria Vargas,61,12450
4,Carlos Quintero,19,56391
5,Luis Garcia,34,90214
6,Elena Serna,52,23415
7,Pedro Hernandez,28,78123
8,Lucia Lopez,41,45198
9,Jorge Ramirez,37,67234
10,Marta Perez,25,12984
11,Daniel Gomez,59,84321
12,Tatiana Rodriguez,31,56123
13,Andres Vargas,48,91234
14,Camila Quintero,22,34891
15,Diego Martinez,64,75120
16,Ana Rojas,27,21984
17,Juan Garcia,53,68341
18,Maria Serna,35,49210
19,Carlos Hernandez,46,81245
20,Luis Lopez,29,15432
21,Elena Ramirez,39,57891
22,Pedro Perez,55,93412
23,Lucia Gomez,24,38124
24,Jorge Rodriguez,62,74519
25,Marta Martinez,33,29184
26,Daniel Rojas,47,85621
27,Tatiana Vargas,20,41238
28,Andres Quintero,58,62391
29,Camila Garcia,42,18452
30,Diego Serna,30,95123
31,Ana Hernandez,65,53214
32,Juan Lopez,26,76189
33,Maria Ramirez,51,31452
34,Carlos Perez,38,89512
35,Luis Gomez,21,47123
36,Elena Rodriguez,49,12845
37,Pedro Martinez,57,69341
38,Lucia Rojas,32,83124
39,Jorge Vargas,44,25618
40,Marta Quintero,60,58192
41,Daniel Garcia,23,94123
42,Tatiana Serna,54,37512
43,Andres Hernandez,36,71845
44,Camila Lopez,43,19234
45,Diego Ramirez,25,86152
46,Ana Perez,50,42318
47,Juan Gomez,31,65129
48,Maria Rodriguez,40,98451
49,Carlos Martinez,28,51234
50,Luis Rojas,63,24198
51,Elena Vargas,34,79512
52,Pedro Quintero,45,36184
53,Lucia Garcia,56,82415
54,Jorge Serna,29,15892
55,Marta Hernandez,48,63145
56,Daniel Lopez,37,91523
57,Tatiana Ramirez,22,48192
58,Andres Perez,61,75418
59,Camila Gomez,52,29134
60,Diego Rodriguez,35,83512
61,Ana Martinez,24,57123
62,Juan Rojas,46,14892
63,Maria Vargas,58,69512
64,Carlos Quintero,33,92184
65,Luis Garcia,41,38512
66,Elena Serna,27,81452
67,Pedro Hernandez,64,45129
68,Lucia Lopez,53,17845
69,Jorge Ramirez,30,76512
70,Marta Perez,49,52184
71,Daniel Gomez,39,95412
72,Tatiana Rodriguez,21,61238
73,Andres Vargas,55,28451
74,Camila Quintero,47,84192
75,Diego Martinez,32,41523
76,Ana Rojas,60,73184
77,Juan Garcia,26,19512
78,Maria Serna,44,58123
79,Carlos Hernandez,36,96415
80,Luis Lopez,51,32184
81,Elena Ramirez,23,67512
82,Pedro Perez,42,89124
83,Lucia Gomez,59,45812
84,Jorge Rodriguez,38,12458
85,Marta Martinez,25,78192
86,Daniel Rojas,57,54123
87,Tatiana Vargas,31,91845
88,Andres Quintero,48,36512
89,Camila Garcia,62,85124
90,Diego Serna,28,29415
91,Ana Hernandez,40,63184
92,Juan Lopez,54,18512
93,Maria Ramirez,29,97415
94,Carlos Perez,45,42184
